,着順,枠,馬番,馬名,性齢,負担重量,騎手名,タイム,着差,コーナー週過順位,推定上がり,馬体重,馬体重(増減),調教師名,単勝人気
0,1,4,8,ヴェントヴォーチェ,牡5,56.0,C.ルメール,1:09.1,,10-7,34.0,518,+2,牧浦 充徳,6
1,2,3,5,,牡3,54.0,松山 弘平,1:09.2,1/2,5-2,34.5,468,+4,深山 雅史,2
2,3,1,1,ヴァトレニ,せん4,56.0,横山 武史,1:09.3,1/2,1-1,34.8,446,+6,長谷川 浩大,4
3,4,8,16,トウシンマカオ,牡3,53.0,川田 将雅,1:09.5,1 1/4,8-7,34.5,452,+4,高柳 瑞樹,1
4,5,6,11,オパールシャルム,牝5,54.0,江田 照男,1:09.5,クビ,2-2,35.0,488,+18,武藤 善則,11
5,6,7,14,エイティーンガール,牝6,55.0,武 豊,1:09.6,1/2,15-15,34.3,454,-2,飯田 祐史,5
6,7,5,9,,牡5,56.0,横山 和生,1:09.7,3/4,10-7,34.6,474,+2,安田 隆行,3
7,8,3,6,シゲルピンクルビー,牝4,54.0,和田 竜二,1:09.8,3/4,6-7,34.9,472,+6,渡辺 薫彦,10
8,9,6,12,マイネルジェロディ,牡4,56.0,C.ホー,1:09.9,クビ,6-5,35.1,470,-2,西園 正都,12
9,10,8,15,,牝4,55.0,松岡 正海,1:10.1,1 1/4,3-2,35.5,470,+10,田島 俊明,9
10,11,4,7,マウンテンムスメ,牝4,54.0,C.パコー,1:10.2,クビ,10-12,35.1,456,-4,中野 栄治,14
11,12,7,13,,牝5,55.0,丹内 祐次,1:10.2,ハナ,10-12,35.1,454,+2,池添 兼雄,7
12,13,5,10,ロードマックス,牡4,56.0,T.バシュロ,1:10.3,3/4,10-12,35.2,444,+2,藤原 英昭,8
13,14,1,2,ビリーバー,牝7,55.0,杉原 誠人,1:10.4,クビ,8-7,35.4,464,+2,石毛 善彦,13
