,レース日,レースタイトル,レースカテゴリ,レースクラス,レースルール,レース重量,レースコース,着順,枠,馬番,馬名,性齢,負担重量,騎手名,タイム,着差,コーナー週過順位,推定上がり,馬体重,馬体重(増減),調教師名,単勝人気
0,2020-05-24,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,1,2,4,デアリングタクト,牝3,55.0,松山 弘平,2:24.4,,11-12-12-13,33.1,466,0,杉山 晴紀,1
1,2020-05-24,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,2,8,16,ウインマリリン,牝3,55.0,横山 典弘,2:24.5,1/2,2-2-2-4,34.0,452,+2,手塚 貴久,7
2,2020-05-24,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,3,4,7,ウインマイティー,牝3,55.0,和田 竜二,2:24.6,クビ,7-5-5-4,34.1,474,+6,五十嵐 忠男,13
3,2020-05-24,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,4,3,6,リアアメリア,牝3,55.0,川田 将雅,2:24.7,3/4,11-11-11-10,33.7,474,-4,中内田 充正,8
4,2020-05-24,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,5,6,12,マジックキャッスル,牝3,55.0,浜中 俊,2:24.8,3/4,16-16-17-16,33.4,422,-2,国枝 栄,14
5,2020-05-24,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,6,7,15,チェーンオブラブ,牝3,55.0,石橋 脩,2:24.9,クビ,18-18-17-17,33.4,462,-4,小笠 倫弘,17
6,2020-05-24,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,7,5,10,ミヤマザクラ,牝3,55.0,武 豊,2:24.9,クビ,9-8-8-9,34.1,468,-2,藤原 英昭,4
7,2020-05-24,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,8,3,5,ホウオウピースフル,牝3,55.0,内田 博幸,2:25.0,クビ,5-5-5-7,34.3,476,-2,大竹 正博,10
8,2020-05-24,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,9,6,11,リリーピュアハート,牝3,55.0,福永 祐一,2:25.1,1/2,17-16-15-12,33.9,430,-8,藤原 英昭,6
9,2020-05-24,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,10,8,17,マルターズディオサ,牝3,55.0,田辺 裕信,2:25.1,アタマ,9-8-8-7,34.4,434,-6,手塚 貴久,12
10,2020-05-24,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,11,1,1,デゼル,牝3,55.0,D.レーン,2:25.1,ハナ,14-14-15-13,33.8,460,-8,友道 康夫,2
11,2020-05-24,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,12,7,13,ウーマンズハート,牝3,55.0,藤岡 康太,2:25.2,1/2,8-8-8-10,34.2,456,-4,西浦 勝一,15
12,2020-05-24,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,13,8,18,サンクテュエール,牝3,55.0,C.ルメール,2:25.4,1 1/4,14-14-12-13,34.1,458,+2,藤沢 和雄,5
13,2020-05-24,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,14,7,14,フィオリキアリ,牝3,55.0,田中 勝春,2:25.6,1 1/2,5-5-5-4,35.1,424,-10,清水 久詞,16
14,2020-05-24,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,15,1,2,クラヴァシュドール,牝3,55.0,M.デムーロ,2:25.7,3/4,3-3-2-2,35.4,440,-2,中内田 充正,3
15,2020-05-24,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,16,4,8,スマイルカナ,牝3,55.0,柴田 大知,2:25.8,クビ,1-1-1-1,35.6,420,+4,高橋 祥泰,9
16,2020-05-24,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,17,2,3,アブレイズ,牝3,55.0,藤井 勘一郎,2:26.1,2,3-3-4-3,35.7,478,-2,池江 泰寿,11
17,2020-05-24,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,18,5,9,インターミッション,牝3,55.0,石川 裕紀人,2:26.3,3/4,11-12-12-17,34.7,402,-4,手塚 貴久,18
0,2020-06-28,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,1,8,16,クロノジェネシス,牝4,56.0,北村 友一,2:13.5,,7-8-7-1,36.3,464,+10,斉藤 崇史,2
1,2020-06-28,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,2,7,14,キセキ,牡6,58.0,武 豊,2:14.5,6,14-13-8-2,37.2,502,-10,角居 勝彦,6
2,2020-06-28,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,3,6,12,モズベッロ,牡4,58.0,池添 謙一,2:15.3,5,12-11-11-8,37.6,480,+2,森田 直行,12
3,2020-06-28,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,4,3,5,サートゥルナーリア,牡4,58.0,C.ルメール,2:15.6,1 3/4,10-10-11-10,37.6,508,+6,角居 勝彦,1
4,2020-06-28,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,5,5,10,メイショウテンゲン,牡4,58.0,松山 弘平,2:15.6,クビ,16-16-15-14,37.4,466,-4,池添 兼雄,16
5,2020-06-28,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,6,6,11,ラッキーライラック,牝5,56.0,M.デムーロ,2:16.0,2 1/2,5-5-5-2,38.8,524,+4,松永 幹夫,3
6,2020-06-28,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,7,3,6,トーセンスーリヤ,牡5,58.0,横山 和生,2:16.3,2,1-1-1-2,39.1,484,+2,小野 次郎,14
7,2020-06-28,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,8,1,1,トーセンカンビーナ,牡4,58.0,浜中 俊,2:16.4,クビ,16-16-15-15,38.2,464,+6,角居 勝彦,11
8,2020-06-28,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,9,7,13,ダンビュライト,せん6,58.0,松若 風馬,2:16.6,1 1/4,3-3-3-6,39.3,488,-2,音無 秀孝,10
9,2020-06-28,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,10,4,8,レッドジェニアル,牡4,58.0,酒井 学,2:16.7,3/4,11-11-11-10,38.9,484,-2,高橋 義忠,15
10,2020-06-28,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,11,7,15,スティッフェリオ,牡6,58.0,幸 英明,2:16.7,ハナ,9-8-8-10,38.9,444,-2,音無 秀孝,8
11,2020-06-28,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,12,8,17,カデナ,牡6,58.0,鮫島 克駿,2:16.8,クビ,18-18-18-15,38.5,486,0,中竹 和也,9
12,2020-06-28,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,13,4,7,ワグネリアン,牡5,58.0,福永 祐一,2:16.8,クビ,2-2-2-2,39.6,470,+4,友道 康夫,7
13,2020-06-28,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,14,5,9,アドマイヤアルバ,せん5,58.0,西村 淳也,2:17.6,5,13-13-15-17,39.1,468,0,須貝 尚介,18
