,レースID,レース日,レースタイトル,レースカテゴリ,レースクラス,レースルール,レース重量,レースコース,着順,枠,馬名ID,馬番,馬名,性齢,負担重量,騎手名,馬体重,馬体重(増減),調教師名,単勝人気
0,0,2020-05-24,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,1,2,0.0,4,デアリングタクト,3,55.0,松山 弘平,466,0,杉山 晴紀,1
1,0,2020-05-24,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,2,8,1.0,16,ウインマリリン,3,55.0,横山 典弘,452,2,手塚 貴久,7
2,0,2020-05-24,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,3,4,2.0,7,ウインマイティー,3,55.0,和田 竜二,474,6,五十嵐 忠男,13
3,0,2020-05-24,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,4,3,3.0,6,リアアメリア,3,55.0,川田 将雅,474,-4,中内田 充正,8
4,0,2020-05-24,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,5,6,4.0,12,マジックキャッスル,3,55.0,浜中 俊,422,-2,国枝 栄,14
5,0,2020-05-24,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,6,7,5.0,15,チェーンオブラブ,3,55.0,石橋 脩,462,-4,小笠 倫弘,17
6,0,2020-05-24,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,7,5,6.0,10,ミヤマザクラ,3,55.0,武 豊,468,-2,藤原 英昭,4
7,0,2020-05-24,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,8,3,7.0,5,ホウオウピースフル,3,55.0,内田 博幸,476,-2,大竹 正博,10
8,0,2020-05-24,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,9,6,8.0,11,リリーピュアハート,3,55.0,福永 祐一,430,-8,藤原 英昭,6
9,0,2020-05-24,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,10,8,9.0,17,マルターズディオサ,3,55.0,田辺 裕信,434,-6,手塚 貴久,12
10,0,2020-05-24,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,11,1,10.0,1,デゼル,3,55.0,D.レーン,460,-8,友道 康夫,2
11,0,2020-05-24,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,12,7,11.0,13,ウーマンズハート,3,55.0,藤岡 康太,456,-4,西浦 勝一,15
12,0,2020-05-24,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,13,8,12.0,18,サンクテュエール,3,55.0,C.ルメール,458,2,藤沢 和雄,5
13,0,2020-05-24,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,14,7,13.0,14,フィオリキアリ,3,55.0,田中 勝春,424,-10,清水 久詞,16
14,0,2020-05-24,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,15,1,14.0,2,クラヴァシュドール,3,55.0,M.デムーロ,440,-2,中内田 充正,3
15,0,2020-05-24,優駿牝馬,3歳,オープン,国際牝指定,定量,2400メートル芝左,16,4,15.0,8,スマイルカナ,3,55.0,柴田 大知,420,4,高橋 祥泰,9
